variant,evidence_file,baseline,unquantized,scope,transform,bits,permutation,module_count,parameter_count,weight_relative_mse_parameter_weighted,calibration_output_relative_mse_parameter_weighted,metadata_bits,adjacent_abs_cosine_before_mean,adjacent_abs_cosine_after_mean,input_adjacent_abs_cosine_before_mean,input_adjacent_abs_cosine_after_mean,output_adjacent_abs_cosine_before_mean,output_adjacent_abs_cosine_after_mean,perplexity,fp16_baseline_perplexity_same_protocol,perplexity_delta_vs_fp16,eval_input_tokens,eval_token_offset,eval_sequence_length,eval_seconds,input_tokens_per_second,calibration_tokens,calibration_samples_per_module,model,num_attention_heads,num_key_value_heads,uses_gqa,fake_quantization_only,packed_integer_kernel
all_input_dct_q3_8192,runs\formal_8192\all_input_dct_q3_8192.json,False,False,all_input,dct,3,none,224,6476005376,0.07486116359174144,0.04762842012854984,0.0,,,,,,,40.24337263949901,6.195575096408451,34.04779754309055,8192,0,2048,2.112218765891157,3878.3861464954593,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
all_input_dct_q3_screen,runs\all_input_screen\all_input_dct_q3_screen.json,False,False,all_input,dct,3,none,224,6476005376,0.07486116359174144,0.04877301765081421,0.0,,,,,,,18.854063811547697,,,2048,0,2048,0.4552836320362985,4498.294812049642,256,16,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
all_input_dct_q4_8192,runs\formal_8192\all_input_dct_q4_8192.json,False,False,all_input,dct,4,none,224,6476005376,0.01374007090854569,0.008739189369932166,0.0,,,,,,,6.677818768597144,6.195575096408451,0.4822436721886936,8192,0,2048,1.802152892923914,4545.6742500403725,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
all_input_dct_q4_screen,runs\all_input_screen\all_input_dct_q4_screen.json,False,False,all_input,dct,4,none,224,6476005376,0.01374007090854569,0.008950732911897543,0.0,,,,,,,4.290504513956822,,,2048,0,2048,0.4581590860616416,4470.063046451202,256,16,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
all_input_dct_unquantized_8192,runs\formal_8192\all_input_dct_unquantized_8192.json,False,True,all_input,dct,,none,224,6476005376,3.5448919086356006e-14,1.2355379331249326e-07,0.0,,,,,,,6.195030424898823,6.195575096408451,-0.000544671509628003,8192,0,2048,1.836993295000866,4459.461023779152,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,False,False
all_input_hadamard_q3_8192,runs\formal_8192\all_input_hadamard_q3_8192.json,False,False,all_input,hadamard,3,none,224,6476005376,0.07483827064064565,0.047621732797154,0.0,,,,,,,55.31098432859974,6.195575096408451,49.11540923219128,8192,0,2048,2.0760978950420395,3945.8640267221685,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
all_input_hadamard_q3_screen,runs\all_input_screen\all_input_hadamard_q3_screen.json,False,False,all_input,hadamard,3,none,224,6476005376,0.07483827064064565,0.04878393745555053,0.0,,,,,,,28.83806579113663,,,2048,0,2048,0.46794390690047294,4376.592941588594,256,16,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
all_input_hadamard_q4_8192,runs\formal_8192\all_input_hadamard_q4_8192.json,False,False,all_input,hadamard,4,none,224,6476005376,0.013735544074725154,0.008735392800694061,0.0,,,,,,,6.741197076074619,6.195575096408451,0.5456219796661683,8192,0,2048,1.829683354939334,4477.277435948265,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
all_input_hadamard_q4_screen,runs\all_input_screen\all_input_hadamard_q4_screen.json,False,False,all_input,hadamard,4,none,224,6476005376,0.013735544074725154,0.008946052959601445,0.0,,,,,,,4.294124164539666,,,2048,0,2048,0.468705469975248,4369.481756012264,256,16,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
all_input_identity_q3_8192,runs\formal_8192\all_input_identity_q3_8192.json,False,False,all_input,identity,3,none,224,6476005376,0.0773530521572419,0.04703679726855957,0.0,,,,,,,9.439973898103927,6.195575096408451,3.2443988016954766,8192,0,2048,1.1431614280445501,7166.092031300368,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
all_input_identity_q3_screen,runs\all_input_screen\all_input_identity_q3_screen.json,False,False,all_input,identity,3,none,224,6476005376,0.0773530521572419,0.048163940577880246,0.0,,,,,,,5.813857950425391,,,2048,0,2048,0.513848755043,3985.608566529696,256,16,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
all_input_identity_q4_8192,runs\formal_8192\all_input_identity_q4_8192.json,False,False,all_input,identity,4,none,224,6476005376,0.014331040145084952,0.008797209656043357,0.0,,,,,,,6.56724792776457,6.195575096408451,0.3716728313561193,8192,0,2048,1.1730762759689242,6983.3481145406895,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
all_input_identity_q4_screen,runs\all_input_screen\all_input_identity_q4_screen.json,False,False,all_input,identity,4,none,224,6476005376,0.014331040145084952,0.008997527700124715,0.0,,,,,,,4.143240256138058,,,2048,0,2048,0.7543675330234692,2714.857029691765,256,16,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
all_input_rdft_q3_8192,runs\formal_8192\all_input_rdft_q3_8192.json,False,False,all_input,rdft,3,none,224,6476005376,0.07485855723920165,0.047613807116231324,0.0,,,,,,,34.59996556673171,6.195575096408451,28.40439047032326,8192,0,2048,1.5154979419894516,5405.484080859952,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
