scope,transform,bits,permutation,segment_count,eval_token_offsets,perplexity_mean,perplexity_std,delta_vs_scope_identity_mean,delta_vs_scope_identity_std,segments_better_than_identity
q_proj_input,dct,3,none,3,"0,8192,16384",5.277914726834784,0.8839255676040388,-0.023708878703900222,0.004850932132968157,3
q_proj_input,dct,3,spectral,3,"0,8192,16384",5.288831256687296,0.8807930956050137,-0.01279234885138821,0.0019098660464655424,3
q_proj_input,dct,4,none,1,0,6.203483023662901,0.0,-0.002131272171410181,0.0,1
q_proj_input,dct,4,spectral,1,0,6.200028242687991,0.0,-0.0055860531463203245,0.0,1
q_proj_input,hadamard,3,none,3,"0,8192,16384",5.277217627924064,0.8891519882568528,-0.02440597761462045,0.007672868921407305,3
q_proj_input,identity,3,none,3,"0,8192,16384",5.301623605538684,0.8818002434611312,0.0,0.0,0
q_proj_input,identity,4,none,1,0,6.2056142958343115,0.0,0.0,0.0,0
q_proj_input,rdft,3,none,3,"0,8192,16384",5.289621793850638,0.8792564769785797,-0.012001811688045963,0.0030777715669791685,3
q_proj_output_head,dct,3,none,3,"0,8192,16384",5.294205541026139,0.891853860137513,-0.007418064512545008,0.015066940825590581,2
q_proj_output_head,dct,4,none,1,0,6.201224223381563,0.0,-0.0043900724527485835,0.0,1
q_proj_output_head,hadamard,3,none,1,0,6.258617482290889,0.0,0.004202592760683466,0.0,0
q_proj_output_head,identity,3,none,3,"0,8192,16384",5.301623605538684,0.8818002434611312,0.0,0.0,0
q_proj_output_head,identity,4,none,1,0,6.2056142958343115,0.0,0.0,0.0,0
q_proj_output_head,rdft,3,none,1,0,6.244251521607211,0.0,-0.01016336792299466,0.0,1
